cardMstId,frontSkillMstId,backSkillMstId,autoSkillMstId,questSkillMstId,artMstId,questArtMstId,protectorSkillMstId,teamId,akbMemberMstId,seriesMstId,name,shortName,resourceName,assetBundleName,cardUniqueId,roleType,cardType,cardDetailType,weaponType,setEffectSeriesId,rarity,giveItemMstId,medalCount,attribute,kind,kindDetail,modeType,shaderType,maxLevel,maxAttack,maxMagicAttack,maxDefence,maxMagicDefence,addAttackValue,addMagicAttackValue,addDefenceValue,addMagicDefenceValue,defaultSellPrice,description,evolutionLevel,maxEvolutionLevel,deckCost,materialSkillExp,materialMergeExp,isInfiniteEvolution,isParameterCustomEnabled,isSkillCustomEnabled,isDeckDisabled,isRelease,createdTime
17,1007,1007,1046,292,0,0,0,0,0,0,Slothful God's Harp,Slothful God's Harp,17,card/0,9,0,1,1,2,0,4,2,8,1,0,0,0,0,70,709,871,383,469,7,9,4,5,18500,<Comatose> Harp of the Goddess Description,0,0,13,300,1600,0,0,0,0,1,0
18,1007,1007,1046,292,0,0,0,0,0,0,Slothful God's Harp,Slothful God's Harp,18,card/1,9,0,1,1,2,0,5,2,8,1,0,0,0,0,80,877,1078,472,579,8,10,4,5,55000,<Comatose> Harp of the Goddess Description,1,0,13,300,5500,0,0,0,0,1,0
19,1017,1017,1047,358,0,0,0,0,0,0,Torture Doctrine,Torture Doctrine,19,card/0,10,0,1,2,4,0,4,2,8,2,0,0,0,0,70,711,873,385,471,7,9,4,5,18500,Bibliography of Tortures Description,0,0,13,300,1600,0,0,0,0,1,0
20,1017,1017,1047,358,0,0,0,0,0,0,Torture Doctrine,Torture Doctrine,20,card/1,10,0,1,2,4,0,5,2,8,2,0,0,0,0,80,869,1070,464,571,8,10,4,5,55000,Bibliography of Tortures Description,1,0,13,300,5500,0,0,0,0,1,0
21,1030,1030,1045,250,0,0,0,0,0,0,Monk's Staff,Monk's Staff,21,card/0,11,0,1,4,6,0,4,2,8,1,0,0,0,0,70,703,865,377,463,7,9,4,5,18500,Priest's Staff Description,0,0,13,300,1600,0,0,0,0,1,0
22,1030,1030,1045,250,0,0,0,0,0,0,Monk's Staff,Monk's Staff,22,card/1,11,0,1,4,6,0,5,2,8,1,0,0,0,0,80,871,1072,466,573,8,10,4,5,55000,Priest's Staff Description,1,0,13,300,5500,0,0,0,0,1,0
23,993,993,1034,28,0,0,0,0,0,0,Dark Puppet,Dark Puppet,23,card/0,12,0,1,3,5,0,4,2,8,1,0,0,0,0,70,705,867,379,465,7,9,4,5,18500,Puppet Who Leads You to Darkness Description,0,0,13,300,1600,0,0,0,0,1,0
24,993,993,1034,28,0,0,0,0,0,0,Dark Puppet,Dark Puppet,24,card/1,12,0,1,3,5,0,5,2,8,1,0,0,0,0,80,873,1074,468,575,8,10,4,5,55000,Puppet Who Leads You to Darkness Description,1,0,13,300,5500,0,0,0,0,1,0
25,990,990,1034,7,0,0,0,0,0,0,Embodiment of Love,Embodiment of Love,25,card/0,13,0,1,5,8,0,4,2,8,1,0,0,0,0,70,873,703,381,467,9,7,4,5,18500,Lump of Pure Love Description,0,0,13,300,1600,0,0,0,0,1,0
26,990,990,1034,7,0,0,0,0,0,0,Embodiment of Love,Embodiment of Love,26,card/2,13,0,1,5,8,0,5,2,8,1,0,0,0,0,80,1080,871,470,577,10,8,4,5,55000,Lump of Pure Love Description,1,0,13,300,5500,0,0,0,0,1,0
27,594,594,1036,187,0,0,0,0,0,0,Grudge Hammer,Grudge Hammer,27,card/0,14,0,1,6,11,0,4,2,8,1,0,0,0,0,70,875,705,383,469,9,7,4,5,18500,Great Hammer of Malice Description,0,0,13,300,1600,0,0,0,0,1,0
28,594,594,1036,187,0,0,0,0,0,0,Grudge Hammer,Grudge Hammer,28,card/2,14,0,1,6,11,0,5,2,8,1,0,0,0,0,80,1082,873,472,579,10,8,4,5,55000,Great Hammer of Malice Description,1,0,13,300,5500,0,0,0,0,1,0
29,1278,1278,1034,10,0,0,0,0,0,0,Ancient Elven Bow,Ancient Elven Bow,29,card/0,15,0,1,7,17,0,4,2,8,1,0,0,0,0,70,711,873,385,471,7,9,4,5,18500,Ancient Elf Bow Description,0,0,13,300,1600,0,0,0,0,1,0
30,1278,1278,1034,10,0,0,0,0,0,0,Ancient Elven Bow,Ancient Elven Bow,30,card/2,15,0,1,7,17,0,5,2,8,1,0,0,0,0,80,869,1070,464,571,8,10,4,5,55000,Ancient Elf Bow Description,1,0,13,300,5500,0,0,0,0,1,0
31,597,597,1036,190,0,0,0,0,0,0,Thirst for War,Thirst for War,31,card/0,16,0,1,8,18,0,4,2,8,1,0,0,0,0,70,703,865,377,463,7,9,4,5,18500,Thirst for Conflict Description,0,0,13,300,1600,0,0,0,0,1,0
32,597,597,1036,190,0,0,0,0,0,0,Thirst for War,Thirst for War,32,card/2,16,0,1,8,18,0,5,2,8,1,0,0,0,0,80,871,1072,466,573,8,10,4,5,55000,Thirst for Conflict Description,1,0,13,300,5500,0,0,0,0,1,0
33,3317,3317,986,3412,0,0,0,0,0,0,Harpy's Harp,Harpy's Harp,33,card/0,17,0,1,1,2,0,5,2,64,1,0,0,0,0,80,923,1379,494,736,8,13,4,6,55000,Harpy's Harp Description,0,0,16,1000,5500,0,0,0,0,1,0
34,3317,3317,986,3412,0,0,0,0,0,0,Harpy's Harp,Harpy's Harp,34,card/2,17,0,1,1,2,0,6,2,64,1,0,0,0,0,120,1394,2085,744,1110,8,12,4,6,150000,Harpy's Harp Description,1,0,16,1000,10000,0,0,0,0,1,0
35,3301,3301,989,3400,0,0,0,0,0,0,Tome of Absolution,Tome of Absolution,35,card/0,18,0,1,2,4,0,5,2,64,1,0,0,0,0,80,925,1381,496,738,8,13,4,6,55000,Tome of Many Commandments Description,0,0,16,1000,5500,0,0,0,0,1,0
36,3301,3301,989,3400,0,0,0,0,0,0,Tome of Absolution,Tome of Absolution,36,card/2,18,0,1,2,4,0,6,2,64,1,0,0,0,0,120,1396,2087,746,1112,8,12,4,6,150000,Tome of Many Commandments Description,1,0,16,1000,10000,0,0,0,0,1,0
37,1344,1344,985,253,0,0,0,0,0,0,Risen Staff,Risen Staff,37,card/0,19,0,1,4,6,0,5,2,64,1,0,0,0,0,80,927,1383,742,496,8,13,6,4,55000,Staff of Rising Action Description,0,0,16,1000,5500,0,0,0,0,1,0
38,1344,1344,985,253,0,0,0,0,0,0,Risen Staff,Risen Staff,38,card/2,19,0,1,4,6,0,6,2,64,1,0,0,0,0,120,1398,2089,1116,746,8,12,6,4,150000,Staff of Rising Action Description,1,0,16,1000,10000,0,0,0,0,1,0
39,3342,3342,989,2820,0,0,0,0,0,0,Astrologer's Manastone,Astrologer's Manasto,39,card/0,20,0,1,3,5,0,5,2,64,1,0,0,0,0,80,791,1477,500,742,7,13,4,6,55000,Daemonic Stone of Astrology Description,0,0,16,1000,5500,0,0,0,0,1,0
40,3342,3342,989,2820,0,0,0,0,0,0,Astrologer's Manastone,Astrologer's Manasto,40,card/2,20,0,1,3,5,0,6,2,64,1,0,0,0,0,120,1182,2220,740,1106,6,13,4,6,150000,Daemonic Stone of Astrology Description,1,0,16,1000,10000,0,0,0,0,1,0
41,1307,1307,975,73,0,0,0,0,0,0,Blade of Depravity,Blade of Depravity,41,card/0,21,0,1,5,7,0,5,2,64,3,0,0,0,0,80,1473,779,736,490,13,7,6,4,55000,Blade of Depravity Description,0,0,16,1000,5500,0,0,0,0,1,0
42,1307,1307,975,73,0,0,0,0,0,0,Blade of Depravity,Blade of Depravity,42,card/2,21,0,1,5,7,0,6,2,64,3,0,0,0,0,120,2226,1180,1110,740,13,6,6,4,150000,Blade of Depravity Description,1,0,16,1000,10000,0,0,0,0,1,0
43,606,606,975,205,0,0,0,0,0,0,Retainer's Hammer,Retainer's Hammer,43,card/0,22,0,1,6,11,0,5,2,64,1,0,0,0,0,80,1383,919,738,492,13,8,6,4,55000,Great Hammer of Genus Description,0,0,16,1000,5500,0,0,0,0,1,0
44,606,606,975,205,0,0,0,0,0,0,Retainer's Hammer,Retainer's Hammer,44,card/2,22,0,1,6,11,0,6,2,64,1,0,0,0,0,120,2089,1390,1112,742,12,8,6,4,150000,Great Hammer of Genus Description,1,0,16,1000,10000,0,0,0,0,1,0
45,1315,1315,972,16,0,0,0,0,0,0,Tracker's Bow,Tracker's Bow,45,card/0,23,0,1,7,17,0,5,2,64,1,0,0,0,0,80,787,1473,496,738,7,13,4,6,55000,Tracker's Bow Description,0,0,16,1000,5500,0,0,0,0,1,0
46,1315,1315,972,16,0,0,0,0,0,0,Tracker's Bow,Tracker's Bow,46,card/2,23,0,1,7,17,0,6,2,64,1,0,0,0,0,120,1188,2226,746,1112,6,13,4,6,150000,Tracker's Bow Description,1,0,16,1000,10000,0,0,0,0,1,0
47,633,633,976,202,0,0,0,0,0,0,Ceremonial Spear,Ceremonial Spear,47,card/0,24,0,1,8,18,0,5,2,64,1,0,0,0,0,80,789,1475,742,496,7,13,6,4,55000,Ceremonial Spear Description,0,0,16,1000,5500,0,0,0,0,1,0
48,633,633,976,202,0,0,0,0,0,0,Ceremonial Spear,Ceremonial Spear,48,card/2,24,0,1,8,18,0,6,2,64,1,0,0,0,0,120,1190,2228,1116,746,6,13,6,4,150000,Ceremonial Spear Description,1,0,16,1000,10000,0,0,0,0,1,0
49,1350,1350,1046,259,0,0,0,0,0,0,Poet's Harp,Poet's Harp,49,card/0,25,0,1,1,2,0,3,2,1,1,0,0,0,0,60,400,489,242,196,5,6,3,2,5000,Poet's Harp Description,0,0,11,100,200,0,0,0,0,1,0
50,1350,1350,1046,259,0,0,0,0,0,0,Poet's Harp,Poet's Harp,50,card/2,25,0,1,1,2,0,4,2,1,1,0,0,0,0,70,596,733,394,318,6,8,4,3,18500,Poet's Harp Description,1,0,11,100,1600,0,0,0,0,1,0
51,1350,1350,1046,259,0,0,0,0,0,0,Poet's Harp,Poet's Harp,51,card/3,25,0,1,1,2,0,5,2,1,1,0,0,0,0,80,736,906,487,393,6,8,4,3,55000,Poet's Harp Description,2,0,11,100,5500,0,0,0,0,1,0
52,1363,1363,1034,337,0,0,0,0,0,0,Otherworldly Chronicles,Otherworldly Chronic,52,card/0,26,0,1,2,4,0,3,2,1,1,0,0,0,0,60,537,431,191,233,7,5,2,3,5000,List of Minerals from Another World Description,0,0,12,100,200,0,0,0,0,1,0
53,1363,1363,1034,337,0,0,0,0,0,0,Otherworldly Chronicles,Otherworldly Chronic,53,card/3,26,0,1,2,4,0,4,2,1,1,0,0,0,0,70,805,648,351,430,8,7,3,4,18500,List of Minerals from Another World Description,1,0,12,100,1600,0,0,0,0,1,0
54,1363,1363,1034,337,0,0,0,0,0,0,Otherworldly Chronicles,Otherworldly Chronic,54,card/3,26,0,1,2,4,0,5,2,1,1,0,0,0,0,80,996,802,433,531,9,7,4,4,55000,List of Minerals from Another World Description,2,0,12,100,5500,0,0,0,0,1,0
55,1029,1029,1035,248,0,0,0,0,0,0,Scepter of Power,Scepter of Power,55,card/0,27,0,1,4,6,0,3,2,1,1,0,0,0,0,60,540,434,238,192,7,5,3,2,5000,Scepter of Power Description,0,0,12,100,200,0,0,0,0,1,0
56,1029,1029,1035,248,0,0,0,0,0,0,Scepter of Power,Scepter of Power,56,card/3,27,0,1,4,6,0,4,2,1,1,0,0,0,0,70,808,651,435,352,8,7,4,3,18500,Scepter of Power Description,1,0,12,100,1600,0,0,0,0,1,0
57,1029,1029,1035,248,0,0,0,0,0,0,Scepter of Power,Scepter of Power,57,card/3,27,0,1,4,6,0,5,2,1,1,0,0,0,0,80,999,805,536,434,9,7,5,4,55000,Scepter of Power Description,2,0,12,100,5500,0,0,0,0,1,0
58,1238,1238,1032,1,0,0,0,0,0,0,Sword of Necessary Evil,Sword of Necessary E,58,card/0,28,0,1,5,7,0,3,2,1,1,0,0,0,0,60,492,395,197,239,6,5,2,3,5000,Sword of Necessary Evil Description,0,0,11,100,200,0,0,0,0,1,0
59,1238,1238,1032,1,0,0,0,0,0,0,Sword of Necessary Evil,Sword of Necessary E,59,card/3,28,0,1,5,7,0,4,2,1,1,0,0,0,0,70,746,601,329,401,8,6,3,4,18500,Sword of Necessary Evil Description,1,0,11,100,1600,0,0,0,0,1,0
60,1238,1238,1032,1,0,0,0,0,0,0,Sword of Necessary Evil,Sword of Necessary E,60,card/3,28,0,1,5,7,0,5,2,1,1,0,0,0,0,80,909,731,394,484,8,6,3,4,55000,Sword of Necessary Evil Description,2,0,11,100,5500,0,0,0,0,1,0
61,1239,1239,1041,19,0,0,0,0,0,0,Strongman's Hammer,Strongman's Hammer,61,card/0,29,0,1,6,12,0,3,2,1,1,0,0,0,0,60,485,388,234,188,6,5,3,2,5000,Warrior's Great Hammer Description,0,0,11,100,200,0,0,0,0,1,0
62,1239,1239,1041,19,0,0,0,0,0,0,Strongman's Hammer,Strongman's Hammer,62,card/3,29,0,1,6,12,0,4,2,1,1,0,0,0,0,70,739,594,396,320,8,6,4,3,18500,Warrior's Great Hammer Description,1,0,11,100,1600,0,0,0,0,1,0
63,1239,1239,1041,19,0,0,0,0,0,0,Strongman's Hammer,Strongman's Hammer,63,card/3,29,0,1,6,12,0,5,2,1,1,0,0,0,0,80,912,734,489,395,8,6,4,3,55000,Warrior's Great Hammer Description,2,0,11,100,5500,0,0,0,0,1,0
64,1240,1240,1032,4,0,0,0,0,0,0,Farmer's Bow,Farmer's Bow,64,card/0,30,0,1,7,17,0,3,2,1,1,0,0,0,0,60,395,484,237,191,5,6,3,2,5000,Farmer's Bow Description,0,0,11,100,200,0,0,0,0,1,0
65,1240,1240,1032,4,0,0,0,0,0,0,Farmer's Bow,Farmer's Bow,65,card/3,30,0,1,7,17,0,4,2,1,1,0,0,0,0,70,601,738,399,323,6,8,4,3,18500,Farmer's Bow Description,1,0,11,100,1600,0,0,0,0,1,0
66,1240,1240,1032,4,0,0,0,0,0,0,Farmer's Bow,Farmer's Bow,66,card/3,30,0,1,7,17,0,5,2,1,1,0,0,0,0,80,741,911,492,398,6,8,4,3,55000,Farmer's Bow Description,2,0,11,100,5500,0,0,0,0,1,0
67,1241,1241,1042,22,0,0,0,0,0,0,The Wolf's Offering,The Wolf's Offering,67,card/0,31,0,1,8,20,0,3,2,1,1,0,0,0,0,60,357,435,240,194,4,5,3,2,5000,Hypocritical Charity Description,0,0,10,100,200,0,0,0,0,1,0
68,1241,1241,1042,22,0,0,0,0,0,0,The Wolf's Offering,The Wolf's Offering,68,card/3,31,0,1,8,20,0,4,2,1,1,0,0,0,0,70,551,675,368,298,6,7,3,3,18500,Hypocritical Charity Description,1,0,10,100,1600,0,0,0,0,1,0
69,1005,1005,1044,268,0,0,0,0,0,0,Lovely Violin,Lovely Violin,69,card/0,32,0,1,1,3,0,3,2,1,1,0,0,0,0,60,338,271,154,185,4,3,1,2,5000,Violin of Relative Truth Description,0,0,8,100,200,0,0,0,0,1,0
70,1005,1005,1044,268,0,0,0,0,0,0,Lovely Violin,Lovely Violin,70,card/3,32,0,1,1,3,0,4,2,1,1,0,0,0,0,70,540,433,235,288,6,4,2,3,18500,Violin of Relative Truth Description,1,0,8,100,1600,0,0,0,0,1,0
71,1018,1018,1046,334,0,0,0,0,0,0,Chaotic Desire,Chaotic Desire,71,card/0,33,0,1,2,4,0,3,2,1,1,0,0,0,0,60,309,378,207,166,4,5,2,2,5000,Chaotic Desire Description,0,0,9,100,200,0,0,0,0,1,0
72,1018,1018,1046,334,0,0,0,0,0,0,Chaotic Desire,Chaotic Desire,72,card/3,33,0,1,2,4,0,4,2,1,1,0,0,0,0,70,492,603,327,264,5,6,3,2,18500,Chaotic Desire Description,1,0,9,100,1600,0,0,0,0,1,0
73,1337,1337,1045,247,0,0,0,0,0,0,Apprentice's Staff,Apprentice's Staff,73,card/0,34,0,1,4,6,0,3,2,1,1,0,0,0,0,60,353,431,192,234,4,5,2,3,5000,Staff of the Apprentice Description,0,0,10,100,200,0,0,0,0,1,0
74,1337,1337,1045,247,0,0,0,0,0,0,Apprentice's Staff,Apprentice's Staff,74,card/3,34,0,1,4,6,0,4,2,1,1,0,0,0,0,70,547,671,296,362,6,7,3,3,18500,Staff of the Apprentice Description,1,0,10,100,1600,0,0,0,0,1,0
75,1241,1241,1042,22,0,0,0,0,0,0,Tunnel Treasure Chest,Tunnel Treasure Ches,75,card/0,35,0,1,3,5,0,3,2,1,1,0,0,0,0,60,271,330,183,148,3,4,2,1,5000,Tunnel Treasure Chest Description,0,0,8,100,200,0,0,0,0,1,0
76,1241,1241,1042,22,0,0,0,0,0,0,Tunnel Treasure Chest,Tunnel Treasure Ches,76,card/4,35,0,1,3,5,0,4,2,1,1,0,0,0,0,70,443,542,296,239,4,5,3,2,18500,Tunnel Treasure Chest Description,1,0,8,100,1600,0,0,0,0,1,0
77,1238,1238,1041,1,0,0,0,0,0,0,Dagger of the Covenant,Dagger of the Covena,77,card/0,36,0,1,5,9,0,3,2,1,1,0,0,0,0,60,336,269,185,150,4,3,2,1,5000,Dagger of Written Vows Description,0,0,8,100,200,0,0,0,0,1,0
78,1238,1238,1041,1,0,0,0,0,0,0,Dagger of the Covenant,Dagger of the Covena,78,card/4,36,0,1,5,9,0,4,2,1,1,0,0,0,0,70,548,441,298,241,6,4,3,2,18500,Dagger of Written Vows Description,1,0,8,100,1600,0,0,0,0,1,0
79,1244,1244,1041,19,0,0,0,0,0,0,Assassin's Kit,Assassin's Kit,79,card/0,37,0,1,6,12,0,3,2,1,1,0,0,0,0,60,338,271,154,185,4,3,1,2,5000,Apparatus of Bloodshed Description,0,0,8,100,200,0,0,0,0,1,0
80,1244,1244,1041,19,0,0,0,0,0,0,Assassin's Kit,Assassin's Kit,80,card/4,37,0,1,6,12,0,4,2,1,1,0,0,0,0,70,540,433,235,288,6,4,2,3,18500,Apparatus of Bloodshed Description,1,0,8,100,1600,0,0,0,0,1,0
81,1240,1240,1042,4,0,0,0,0,0,0,Calamitous Bow,Calamitous Bow,81,card/0,38,0,1,7,17,0,3,2,1,1,0,0,0,0,60,267,326,146,177,3,4,1,2,5000,Bow of Calamity Description,0,0,8,100,200,0,0,0,0,1,0
82,1240,1240,1042,4,0,0,0,0,0,0,Calamitous Bow,Calamitous Bow,82,card/4,38,0,1,7,17,0,4,2,1,1,0,0,0,0,70,439,538,237,290,4,5,2,3,18500,Bow of Calamity Description,1,0,8,100,1600,0,0,0,0,1,0
83,1241,1241,1042,22,0,0,0,0,0,0,Dragon Scythe,Dragon Scythe,83,card/0,39,0,1,8,20,0,3,2,1,1,0,0,0,0,60,269,328,148,179,3,4,1,2,5000,Sickle of Dragon Transformation Description,0,0,8,100,200,0,0,0,0,1,0
84,1241,1241,1042,22,0,0,0,0,0,0,Dragon Scythe,Dragon Scythe,84,card/4,39,0,1,8,20,0,4,2,1,1,0,0,0,0,70,441,540,239,292,4,5,2,3,18500,Sickle of Dragon Transformation Description,1,0,8,100,1600,0,0,0,0,1,0
85,1241,1241,1042,22,0,0,0,0,0,0,Scales of Fortune,Scales of Fortune,85,card/0,40,0,1,3,5,0,3,2,1,1,0,0,0,0,60,313,382,172,209,4,5,2,2,5000,Scales of Fortune Description,0,0,9,100,200,0,0,0,0,1,0
86,1241,1241,1042,22,0,0,0,0,0,0,Scales of Fortune,Scales of Fortune,86,card/4,40,0,1,3,5,0,4,2,1,1,0,0,0,0,70,496,607,270,329,5,6,2,3,18500,Scales of Fortune Description,1,0,9,100,1600,0,0,0,0,1,0
87,1360,1360,986,326,0,0,0,0,0,0,Sealed Water,Sealed Water,87,card/0,41,0,1,1,3,0,5,2,64,2,0,0,0,0,80,1387,923,742,496,13,8,6,4,55000,Sealed Water Description,0,0,16,1000,5500,0,0,0,0,1,0
88,1360,1360,986,326,0,0,0,0,0,0,Sealed Water,Sealed Water,88,card/4,41,0,1,1,3,0,6,2,64,2,0,0,0,0,120,2093,1394,1116,746,12,8,6,4,150000,Sealed Water Description,1,0,16,1000,10000,0,0,0,0,1,0
89,1372,1372,975,398,0,0,0,0,0,0,Demonic Arm,Demonic Arm,89,card/0,42,0,1,2,4,0,5,2,64,1,0,0,0,0,80,1389,925,744,498,13,8,6,4,55000,Demonic Arm Description,0,0,16,1000,5500,0,0,0,0,1,0
90,1372,1372,975,398,0,0,0,0,0,0,Demonic Arm,Demonic Arm,90,card/4,42,0,1,2,4,0,6,2,64,1,0,0,0,0,120,2085,1386,1108,738,12,8,6,4,150000,Demonic Arm Description,1,0,16,1000,10000,0,0,0,0,1,0
91,1031,1031,977,254,0,0,0,0,0,0,Irreconcilable Enemy,Irreconcilable Enemy,91,card/0,43,0,1,4,6,0,5,2,64,1,0,0,0,0,80,1381,917,492,734,13,8,4,6,55000,Irreconcilable Enemy Description,0,0,16,1000,5500,0,0,0,0,1,0
92,1031,1031,977,254,0,0,0,0,0,0,Irreconcilable Enemy,Irreconcilable Enemy,92,card/4,43,0,1,4,6,0,6,2,64,1,0,0,0,0,120,2087,1388,742,1108,12,8,4,6,150000,Irreconcilable Enemy Description,1,0,16,1000,10000,0,0,0,0,1,0
93,3342,3342,985,2820,0,0,0,0,0,0,Samsara Gem,Samsara Gem,93,card/0,44,0,1,3,5,0,5,2,64,1,0,0,0,0,80,923,1379,738,492,8,13,6,4,55000,Jewel of Samsara Description,0,0,16,1000,5500,0,0,0,0,1,0
94,3342,3342,985,2820,0,0,0,0,0,0,Samsara Gem,Samsara Gem,94,card/4,44,0,1,3,5,0,6,2,64,1,0,0,0,0,120,1394,2085,1112,742,8,12,6,4,150000,Jewel of Samsara Description,1,0,16,1000,10000,0,0,0,0,1,0
95,3249,3249,972,2214,0,0,0,0,0,0,Shameless Ambition,Shameless Ambition,95,card/0,45,0,1,5,10,0,5,2,64,1,0,0,0,0,80,1385,921,496,738,13,8,4,6,55000,Shameless Ambition Description,0,0,16,1000,5500,0,0,0,0,1,0
96,3249,3249,972,2214,0,0,0,0,0,0,Shameless Ambition,Shameless Ambition,96,card/4,45,0,1,5,10,0,6,2,64,1,0,0,0,0,120,2091,1392,746,1112,12,8,4,6,150000,Shameless Ambition Description,1,0,16,1000,10000,0,0,0,0,1,0
97,1334,1334,972,61,0,0,0,0,0,0,Warden's Mallet,Warden's Mallet,97,card/0,46,0,1,6,11,0,5,2,64,1,0,0,0,0,80,1479,785,498,740,13,7,4,6,55000,Warden's Mallet Description,0,0,16,1000,5500,0,0,0,0,1,0
98,1334,1334,972,61,0,0,0,0,0,0,Warden's Mallet,Warden's Mallet,98,card/4,46,0,1,6,11,0,6,2,64,1,0,0,0,0,120,2232,1186,748,1114,13,6,4,6,150000,Warden's Mallet Description,1,0,16,1000,10000,0,0,0,0,1,0
99,1335,1335,976,76,0,0,0,0,0,0,Accursed Gun,Accursed Gun,99,card/0,47,0,1,7,15,0,5,2,64,1,0,0,0,0,80,929,1385,744,498,8,13,6,4,55000,Cursed Gun of Resentment Description,0,0,16,1000,5500,0,0,0,0,1,0
