skillMstId,category,setEffectSeriesId,name,description,attackEffect,sp,maxLevel,resourceName,type,typeLabel,primaryIcon,secondaryIcon,rangeIcon,autoSkillPercentageType
635,1,0,Evil Thunder of Assault (III),Deals great M.DMG to 1 to 2 enemies.\nSlightly increases own M.ATK.,0,22,15,,6,multiple enemies,2,6,2,0
816,1,0,Breath of Assault (III),Greatly restores HP to 1 ally.\nSlightly increases ally's P.ATK.,0,19,15,,37,Single Ally/Self,3,4,1,0
817,1,0,Prayer of Assault (II),Restores HP to 1 ally.\nSlightly increases ally's M.ATK.,0,17,15,,37,Single Ally/Self,3,6,1,0
824,1,0,Prayer of Protection (III),Greatly restores HP to 1 ally.\nSlightly increases ally's M.DEF.,0,19,15,,37,Single Ally/Self,3,7,1,0
829,1,0,Prayer of Assault (III),Greatly restores HP to 1 ally.\nSlightly increases ally's M.ATK.,0,19,15,,37,Single Ally/Self,3,6,1,0
972,3,0,Dauntless Courage (II),Chance of increasing ATK DMG when attacking.,0,0,15,,74,own,0,0,0,1
973,3,0,P.ATK Debuff (II),Chance of reducing enemy's P.ATK when attacking.,0,0,15,,75,own,0,0,0,1
974,3,0,M.ATK Debuff (II),Chance of reducing enemy's M.ATK when attacking.,0,0,15,,75,own,0,0,0,1
975,3,0,P.DEF Debuff (II),Chance of reducing enemy's P.DEF when attacking.,0,0,15,,76,own,0,0,0,1
976,3,0,M.DEF Debuff (II),Chance of reducing enemy's M.DEF when attacking.,0,0,15,,76,own,0,0,0,1
977,3,0,ATK Debuff (II),Chance of reducing enemy's P.ATK and M.ATK when attacking.,0,0,15,,77,own,0,0,0,1
978,3,0,Barrier Break (II),Chance of reducing enemy's P.DEF and M.DEF when attacking.,0,0,15,,77,own,0,0,0,1
979,3,0,P.ATK Support (II),Chance of increasing own P.ATK when attacking.,0,0,15,,78,own,0,0,0,1
980,3,0,Mental Focus (II),Chance of increasing own M.ATK when attacking.,0,0,15,,78,own,0,0,0,1
981,3,0,Anti-P.DMG Barrier (II),Chance of increasing own P.DEF when attacking.,0,0,15,,79,own,0,0,0,1
982,3,0,Anti-M.DMG Barrier (II),Chance of increasing own M.DEF when attacking.,0,0,15,,79,own,0,0,0,1
985,3,0,Recovery Support (II),Chance to increase the amount of HP recovered when restoring HP.,0,0,15,,82,own,0,0,0,1
986,3,0,Support Boon (II),Chance to increase support effects when giving support.,0,0,15,,86,own,0,0,0,1
989,3,0,Replenish Magic (II),Chance of reducing SP cost when using commands.,0,0,15,,97,own,0,0,0,1
990,1,0,Torch of Destruction (III),Deals great P.DMG to 1 enemy.,0,16,15,,1,Single Enemy,1,0,1,0
991,1,0,Wave of Destruction (IV),Deals massive P.DMG to 1 enemy.,0,18,15,,1,Single Enemy,1,0,1,0
992,1,0,Gale of Destruction (III),Deals great P.DMG to 1 enemy.,0,16,15,,1,Single Enemy,1,0,1,0
993,1,0,Inferno of Exorcism (II),Deals M.DMG to 1 to 2 enemies.,0,19,15,,2,multiple enemies,2,0,2,0
994,1,0,Torrent of Exorcism (II),Deals M.DMG to 1 to 2 enemies.,0,19,15,,2,multiple enemies,2,0,2,0
995,1,0,Gale of Exorcism (II),Deals M.DMG to 1 to 2 enemies.,0,19,15,,2,multiple enemies,2,0,2,0
996,1,0,Torch of Destruction (III),Deals great P.DMG to 1 enemy.,0,16,15,,1,Single Enemy,1,0,1,0
997,1,0,Torrent of Destruction (III),Deals great P.DMG to 1 to 2 enemies.,0,21,15,,2,multiple enemies,1,0,2,0
998,1,0,Gale of Destruction (III),Deals great P.DMG to 1 to 2 enemies.,0,21,15,,2,multiple enemies,1,0,2,0
999,1,0,Inferno of Exorcism (II),Deals M.DMG to 1 to 2 enemies.,0,19,15,,2,multiple enemies,2,0,2,0
1000,1,0,Torrent of Exorcism (II),Deals M.DMG to 1 to 2 enemies.,0,19,15,,2,multiple enemies,2,0,2,0
1001,1,0,Gale of Exorcism (II),Deals M.DMG to 1 to 2 enemies.,0,19,15,,2,multiple enemies,2,0,2,0
1002,1,0,Hero's Rhapsody (III),Greatly increases 1 ally's P.ATK and M.ATK.,0,17,15,,41,Single Ally/Self,8,0,1,0
1003,1,0,Hero's Harmony (I),Slightly increases 2 allies' P.ATK and M.ATK.,0,23,15,,41,Multiple Allies/Self,8,0,3,0
1004,1,0,Hero's Rhapsody (III),Greatly increases 1 ally's P.ATK and M.ATK.,0,17,15,,41,Single Ally/Self,8,0,1,0
1005,1,0,Holy Knight's Gospel (I),Slightly increases 2 allies' P.DEF and M.DEF.,0,22,15,,41,Multiple Allies/Self,13,0,3,0
1006,1,0,Holy Knight's Gospel (II),Increases 2 allies' P.DEF and M.DEF.,0,25,15,,41,Multiple Allies/Self,13,0,3,0
1007,1,0,Holy Knight's Gospel (I),Slightly increases 2 allies' P.DEF and M.DEF.,0,23,15,,41,Multiple Allies/Self,13,0,3,0
1008,1,0,Sorcerer's Waltz (IV),Massively increases 1 ally's M.ATK.,0,18,15,,41,Single Ally/Self,6,0,1,0
1010,1,0,Sorcerer's Waltz (IV),Massively increases 1 ally's M.ATK.,0,18,15,,41,Single Ally/Self,6,0,1,0
1014,1,0,Incantation of Corrosion (I),Slightly reduces P.ATK and M.ATK of 2 enemies.,0,23,15,,43,multiple enemies,18,0,3,0
1015,1,0,Curse of Corrosion (III),Greatly reduces 1 enemy's P.ATK and M.ATK.,0,17,15,,43,Single Enemy,18,0,1,0
1016,1,0,Curse of Corrosion (III),Greatly reduces 1 enemy's P.ATK and M.ATK.,0,17,15,,43,Single Enemy,18,0,1,0
1017,1,0,Curse of Submission (II),Reduces 1 enemy's P.DEF and M.DEF.,0,17,15,,43,Single Enemy,23,0,1,0
1018,1,0,Curse of Submission (I),Slightly reduces 1 enemy's P.DEF and M.DEF.,0,15,15,,43,Single Enemy,23,0,1,0
1019,1,0,Curse of Submission (II),Reduces 1 enemy's P.DEF and M.DEF.,0,17,15,,43,Single Enemy,23,0,1,0
1020,1,0,Curse of Debilitation (IV),Massively reduces 1 enemy's M.ATK.,0,18,15,,43,Single Enemy,16,0,1,0
1021,1,0,Incantation of Debilitation (III),Greatly reduces 1 to 2 enemies' M.ATK.,0,21,15,,44,multiple enemies,16,0,2,0
1025,1,0,Curse of Disenchantment (IV),Massively reduces 1 enemy's M.DEF.,0,18,15,,43,Single Enemy,17,0,1,0
1026,1,0,Healing Light (III),Greatly restores HP to 1 ally.,0,18,15,,35,Single Ally/Self,3,0,1,0
1027,1,0,Healing Light (III),Greatly restores HP to 1 ally.,0,16,15,,35,Single Ally/Self,3,0,1,0
1028,1,0,Healing Light (III),Greatly restores HP to 1 ally.,0,16,15,,35,Single Ally/Self,3,0,1,0
1029,1,0,Blessed Gospel (I),Slightly restores HP to 1 to 2 allies.,0,17,15,,36,Multiple Allies/Self,3,0,2,0
1030,1,0,Blessed Gospel (I),Slightly restores HP to 2 allies.,0,23,15,,35,Multiple Allies/Self,3,0,3,0
1031,1,0,Blessed Gospel (III),Greatly restores HP to 2 allies.,0,25,15,,35,Multiple Allies/Self,3,0,3,0
1032,3,0,Dauntless Courage (I),Chance to slightly increase ATK DMG when attacking.,0,0,15,,74,own,0,0,0,1
1033,3,0,P.ATK Debuff (I),Chance of slightly reducing enemy's P.ATK when attacking.,0,0,15,,75,own,0,0,0,1
1034,3,0,M.ATK Debuff (I),Chance of slightly reducing enemy's M.ATK when attacking.,0,0,15,,75,own,0,0,0,1
